Title,Category,Author(s),Status,Wiki Page,Scan Depth,In-Wiki Citations,Year,Tier,Format,URL
Lost Inheritance: Black Farmers Face an Uncertain Future without Heirs' Property Reforms,Report,Alice Reznickova (Union of Concerned Scientists),Scanned,https://www.progress.org/wiki/land-and-the-black-white-wealth-gap/,Light,1,2023,supplementary,Report,https://www.ucs.org/sites/default/files/2023-06/Lost-Inheritance_report_0.pdf
Land Back: A Yellowhead Institute Red Paper,Report,Yellowhead Institute,Scanned,https://www.progress.org/wiki/land-justice-and-indigenous-reconciliation/,Medium,1,2019,important,Report,https://redpaper.yellowheadinstitute.org/
Red Skin White Masks: Rejecting the Colonial Politics of Recognition,Modern Book,Glen Sean Coulthard,Scanned,https://www.progress.org/wiki/land-justice-and-indigenous-reconciliation/,Light,1,2014,important,Book,https://www.upress.umn.edu/9780816679652/red-skin-white-masks/
Rating of Maori Land: A Legal History,Academic Paper,Richard Boast,Referenced,https://www.progress.org/wiki/land-justice-and-indigenous-reconciliation/,Light,1,2022,supplementary,Paper,https://doi.org/10.26686/vuwlr.v52i4.7401
Maori and Rating Law (Rangahaua Whanui National Theme I),Report,Tom Bennion,Referenced,https://www.progress.org/wiki/land-justice-and-indigenous-reconciliation/,Light,1,1997,supplementary,Report,https://www.waitangitribunal.govt.nz/assets/Rangahaua-whanui/THEME/Theme-I-Bennion-Rating.pdf
Working Towards Economic Reconciliation: Government Resource Revenue Sharing in BC Ontario and the Yukon,Report,"Julie Abouchar, Carl McKay",Referenced,https://www.progress.org/wiki/land-justice-and-indigenous-reconciliation/,Light,1,2018,supplementary,Report,https://www.willmsshier.com/docs/default-source/articles/article---working-towards-economic-reconciliation-part-1-government-resource-revenue-sharing-in-british-columbia-ontario-and-the-yukon---ja-cm-lw---july-17-2018.pdf
Poverty in the United States: 2023 (P60-283),Report,U.S. Census Bureau (Emily A. Shrider),Scanned,https://www.progress.org/wiki/rising-land-costs-drive-poverty/,Medium,1,2024,important,Report,https://www.census.gov/library/publications/2024/demo/p60-283.html
America's Rental Housing 2024,Report,Joint Center for Housing Studies of Harvard University,Scanned,https://www.progress.org/wiki/rising-land-costs-drive-poverty/,Medium,1,2024,important,Report,https://www.jchs.harvard.edu/sites/default/files/reports/files/Harvard_JCHS_Americas_Rental_Housing_2024.pdf
The Impacts of Neighborhoods on Intergenerational Mobility I: Childhood Exposure Effects,Academic Paper,"Raj Chetty, Nathaniel Hendren",Scanned,https://www.progress.org/wiki/rising-land-costs-drive-poverty/,Medium,1,2018,important,Paper,https://opportunityinsights.org/wp-content/uploads/2018/03/movers_paper1.pdf
Homelessness: Better HUD Oversight of Data Collection Could Improve Estimates of Homeless Population (GAO-20-433),Report,U.S. Government Accountability Office,Scanned,https://www.progress.org/wiki/homelessness-is-housing-cost-problem/,Medium,1,2020,important,Report,https://www.gao.gov/products/gao-20-433
Homelessness Is a Housing Problem,Modern Book,"Gregg Colburn, Clayton Page Aldern",Scanned,https://www.progress.org/wiki/homelessness-is-housing-cost-problem/,Medium,1,2022,important,Book,https://www.ucpress.edu/book/9780520383784/homelessness-is-a-housing-problem
When warm and cold don't mix: The implications of climate for the determinants of homelessness,Academic Paper,"Kevin Corinth, David S. Lucas",Scanned,https://www.progress.org/wiki/homelessness-is-housing-cost-problem/,Light,1,2018,important,Paper,https://doi.org/10.1016/j.jhe.2018.01.001
Tax policy and economic growth: does it really matter?,Academic Paper,"Donatella Baiardi, Paola Profeta, Riccardo Puglisi, Simona Scabrosetti",Referenced,https://www.progress.org/wiki/taxing-land-raises-productivity/,Light,1,2019,supplementary,Paper,https://ideas.repec.org/a/kap/itaxpf/v26y2019i2d10.1007_s10797-018-9494-3.html
The Allocation of Talent: Implications for Growth,Academic Paper,"Kevin M. Murphy, Andrei Shleifer, Robert W. Vishny",Scanned,https://www.progress.org/wiki/murphy-shleifer-vishny-allocation-talent/,Heavy,2,1991,important,Paper,https://doi.org/10.2307/2937945
Why Is Rent-Seeking So Costly to Growth?,Academic Paper,"Kevin M. Murphy, Andrei Shleifer, Robert W. Vishny",Scanned,https://www.progress.org/wiki/murphy-shleifer-vishny-rent-seeking-growth/,Heavy,2,1993,important,Paper,https://shleifer.scholars.harvard.edu/publications/why-rent-seeking-so-costly-growth
"Entrepreneurship: Productive, Unproductive, and Destructive",Academic Paper,William J. Baumol,Scanned,https://www.progress.org/wiki/baumol-unproductive-entrepreneurship/,Heavy,2,1990,important,Paper,https://doi.org/10.1086/261712
Why Is There So Little Money in U.S. Politics?,Academic Paper,"Stephen Ansolabehere, John M. de Figueiredo, James M. Snyder Jr.",Scanned,https://www.progress.org/wiki/ansolabehere-money-in-politics/,Medium,2,2003,supplementary,Paper,https://doi.org/10.1257/089533003321164976
Speculative Vacancies 11: Empty Homes in Melbourne 2019-2023,Advocacy Report,Prosper Australia,Scanned,https://www.progress.org/wiki/prosper-speculative-vacancies/,Heavy,2,2024,important,Report,https://www.prosper.org.au/wp-content/uploads/2024/07/Prosper_SpecVac11_July2024-web.pdf
The impact of taxing vacancy on housing markets: Evidence from France,Academic Paper,Mariona Segu,Scanned,https://www.progress.org/wiki/segu-vacancy-tax-france/,Heavy,2,2020,important,Paper,https://doi.org/10.1016/j.jpubeco.2019.104079
The Impact of Local Residential Land Use Restrictions on Land Values Across and Within Single Family Housing Markets,Academic Paper,"Joseph Gyourko, Jacob Krimmel",Scanned,https://www.progress.org/wiki/gyourko-krimmel-zoning-tax/,Heavy,2,2021,important,Paper,https://www.nber.org/papers/w28993
The Power to Tax: Analytical Foundations of a Fiscal Constitution,Classic Book,"Geoffrey Brennan, James M. Buchanan",Scanned,https://www.progress.org/wiki/brennan-buchanan-power-to-tax/,Medium,2,1980,important,Book,https://oll.libertyfund.org/titles/brennan-the-collected-works-of-james-m-buchanan-vol-9-the-power-to-tax
The Transitional Gains Trap,Academic Paper,Gordon Tullock,Scanned,https://www.progress.org/wiki/tullock-transitional-gains-trap/,Medium,3,1975,important,Paper,https://ideas.repec.org/a/rje/bellje/v6y1975iautumnp671-678.html
Financial Consumption and the Cost of Finance: Measuring Financial Efficiency in Europe (1950-2007),Academic Paper,Guillaume Bazot,Scanned,https://www.progress.org/wiki/bazot-cost-of-finance-europe/,Medium,1,2018,important,Paper,https://doi.org/10.1093/jeea/jvx008
Navigating the Amazon: The Incidence of Digital Service Taxes,Academic Paper,"Rohit Reddy Muddasani, Dominika Langenmayr",Scanned,https://www.progress.org/wiki/digital-services-tax-incidence/,Medium,1,2025,important,Paper,https://research.wu.ac.at/ws/portalfiles/portal/76680012/2025_05_DST_2_.pdf
The Digital Services Tax as a Tax on Location-Specific Rent,Academic Paper,"Wei Cui, Nigar Hashimzade",Scanned,https://www.progress.org/wiki/digital-services-tax-incidence/,Medium,1,2019,important,Paper,https://researchers.allard.ubc.ca/ws/portalfiles/portal/39709750/The%20Digital%20Services%20Tax%20as%20a%20Tax%20on%20Location-Specific%20Rent.pdf
Fee changes in the UK following introduction of the Digital Services Tax,Corporate Announcement,Amazon,Referenced,https://www.progress.org/wiki/digital-services-tax-incidence/,Light,1,2020,supplementary,Web,https://sellercentral.amazon.co.uk/help/hub/reference/external/366DPWD5P5QFDJP
Who Will Ultimately Pay the UK Digital Services Tax?,Policy Analysis,Tax Foundation,Referenced,https://www.progress.org/wiki/digital-services-tax-incidence/,Light,1,2020,supplementary,Web,https://taxfoundation.org/blog/who-will-ultimately-pay-the-uk-digital-services-tax-amazon-passes-the-cost-along-to-sellers/
Taxing Digital Advertising,Essay,Paul Romer,Scanned,https://www.progress.org/wiki/romer-digital-advertising-tax/,Medium,1,2021,important,Web,https://adtax.paulromer.net/
A Tax That Could Fix Big Tech,Op-ed,Paul Romer,Referenced,https://www.progress.org/wiki/romer-digital-advertising-tax/,Light,1,2019,important,Op-ed,https://www.stern.nyu.edu/experience-stern/faculty-research/tax-could-fix-big-tech
The Urgent Need to Tax Digital Advertising,Policy Brief,"Daron Acemoglu, Simon Johnson",Scanned,https://www.progress.org/wiki/romer-digital-advertising-tax/,Light,1,2024,important,Report,https://shapingwork.mit.edu/wp-content/uploads/2024/04/Digital-Ad-Tax_Policy-Brief.pdf
Unlocking Digital Competition: Report of the Digital Competition Expert Panel,Government Report,"Jason Furman, Diane Coyle, Amelia Fletcher, Philip Marsden, Derek McAuley",Scanned,https://www.progress.org/wiki/furman-review-digital-competition/,Heavy,1,2019,important,Report,https://assets.publishing.service.gov.uk/media/5c88150ee5274a230219c35f/unlocking_digital_competition_furman_review_web.pdf
Artificial Intelligence and Its Implications for Income Distribution and Unemployment,Academic Paper,"Anton Korinek, Joseph E. Stiglitz",Scanned,https://www.progress.org/wiki/korinek-stiglitz-ai-rents/,Heavy,1,2017,important,Paper,https://www.nber.org/system/files/working_papers/w24174/w24174.pdf
Regulation (EU) 2022/1925 (Digital Markets Act),Legislation,European Parliament and Council of the European Union,Scanned,https://www.progress.org/wiki/dma-interoperability-dissolution/,Heavy,1,2022,important,Report,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R1925
Interoperability as a competition remedy for digital networks,Academic Paper,"Michael Kades, Fiona Scott Morton",Scanned,https://www.progress.org/wiki/dma-interoperability-dissolution/,Medium,1,2020,important,Paper,https://equitablegrowth.org/working-papers/interoperability-as-a-competition-remedy-for-digital-networks/
Land Value Appraisal Using Statistical Methods (FORLand WP-07),Academic Paper,"Jens Kolbe, Rainer Schulz, Martin Wersing, Axel Werwatz",Scanned,https://www.progress.org/wiki/kolbe-berlin-land-value-appraisal/,Heavy,1,2019,important,Paper,https://edoc.hu-berlin.de/bitstream/handle/18452/20511/FORLand-2019-07.pdf
Valuation and Assessment of Immovable Property (OECD WP on Fiscal Federalism No. 19),Report,Richard Almy,Scanned,https://www.progress.org/wiki/almy-oecd-valuation-assessment/,Heavy,1,2014,important,Report,https://doi.org/10.1787/5jz5pzvr28hk-en
Property taxation and mass appraisal valuations in Australia,Academic Paper,"Mike Hefferan, Terry Boyd",Scanned,https://www.progress.org/wiki/hefferan-boyd-mass-appraisal-australia/,Heavy,1,2010,important,Paper,https://doi.org/10.1108/02637471011051291
The Saratoga Single Tax Debate: The George-Seligman Exchange (1890),Historical Text,"Henry George, Edwin R. A. Seligman",Scanned,https://www.progress.org/wiki/saratoga-single-tax-debate-1890/,Heavy,2,1890,important,Text,https://archive.org/download/sim_journal-of-social-science-proceedings_1890-10_27/sim_journal-of-social-science-proceedings_1890-10_27_djvu.txt
Who Benefits From Productivity Growth? Direct and Indirect Effects of Local TFP Growth on Wages Rents and Inequality,Academic Paper,"Richard Hornbeck, Enrico Moretti",Scanned,https://www.progress.org/wiki/hornbeck-moretti-tfp-incidence/,Medium,1,2018,important,Paper,https://www.nber.org/system/files/working_papers/w24661/w24661.pdf
The Value of Residential Land and Structures during the Great Housing Boom and Bust,Academic Paper,"Nicolai V. Kuminoff, Jaren C. Pope",Scanned,https://www.progress.org/wiki/kuminoff-pope-land-values/,Heavy,1,2013,important,Paper,https://doi.org/10.3368/le.89.1.1
Where Did All the Land Go? The Fed's New Balance Sheet Calculations,Online Writing,Michael Hudson,Scanned,https://www.progress.org/wiki/hudson-where-did-all-the-land-go/,Heavy,1,2001,supplementary,Article,https://michael-hudson.com/2001/03/where-did-all-the-land-go-the-feds-new-balance-sheet-calculationsa-critique-of-land-value-statistics/
"The Case against the Single Tax (full text, 1914 Atlantic Monthly)",Historical Text,Alvin S. Johnson,Scanned,https://www.progress.org/wiki/johnson-case-against-single-tax-1914/,Heavy,2,1914,important,Text,https://archive.org/download/sim_atlantic_1914-01_113_1/sim_atlantic_1914-01_113_1_djvu.txt
Finance Is Not the Economy: Reviving the Conceptual Distinction,Academic Paper,"Dirk Bezemer, Michael Hudson",Scanned,https://www.progress.org/wiki/bezemer-hudson-finance-is-not-the-economy/,Heavy,3,2016,important,Paper,https://www.boeckler.de/pdf/v_2016_10_21_hudson.pdf
The Financial Cycle and Macroeconomics: What Have We Learnt?,Academic Paper,Claudio Borio,Scanned,https://www.progress.org/wiki/borio-financial-cycle/,Heavy,3,2012,important,Paper,https://www.bis.org/publ/work395.pdf
Reply to the Caplan and Gochenour Critique of Georgism,Academic Paper,Fred Foldvary,Scanned,https://www.progress.org/wiki/foldvary-reply-gochenour-caplan/,Light,2,2014,important,Paper,https://doi.org/10.1007/s11138-013-0243-7
The Citizen's Dividend,Academic Paper,Bill Raley,Scanned,https://www.progress.org/wiki/raley-citizens-dividend/,Medium,2,2018,supplementary,Paper,https://basicincome.org/wp-content/uploads/2018/09/The-Citizens-Dividend.pdf
More evidence on the spatial scale of cities,Academic Paper,Daniel T. McGrath,Scanned,https://www.progress.org/wiki/mcgrath-spatial-scale-cities/,Medium,1,2005,important,Paper,https://doi.org/10.1016/j.jue.2005.01.003
The Structure and Growth of Residential Neighborhoods in American Cities,Modern Book,Homer Hoyt (FHA),Referenced,https://www.progress.org/wiki/sector-model/,Light,1,1939,important,Book,https://archive.org/details/structuregrowtho00unit
More Than Sector Theory: Homer Hoyt's Contributions to Planning Knowledge,Academic Paper,Robert Beauregard,Referenced,https://www.progress.org/wiki/sector-model/,Light,2,2007,important,Paper,https://journals.sagepub.com/doi/abs/10.1177/1538513206298337
"The Economics of Invention Incentives: Patents, Prizes, and Research Contracts",Academic Paper,Brian D. Wright,Scanned,https://www.progress.org/wiki/prizes-vs-patents/,Light,1,1983,important,Paper,https://ideas.repec.org/a/aea/aecrev/v73y1983i4p691-707.html
Advance Market Commitments: Insights from Theory and Experience,Academic Paper,Michael Kremer; Jonathan D. Levin; Christopher M. Snyder,Scanned,https://www.progress.org/wiki/prizes-vs-patents/,Medium,1,2020,important,Paper,https://www.nber.org/system/files/working_papers/w26775/w26775.pdf
Intellectual Property: When Is It the Best Incentive System?,Academic Paper,Nancy Gallini; Suzanne Scotchmer,Scanned,https://www.progress.org/wiki/prizes-vs-patents/,Light,1,2002,supplementary,Book Chapter,https://www.nber.org/system/files/chapters/c10785/c10785.pdf
Capitalization of Property Taxes in Norway,Academic Paper,Lars-Erik Borge; Jørn Rattsø,Scanned,https://www.progress.org/wiki/borge-rattso-norway-capitalization/,Medium,1,2014,important,Paper,https://doi.org/10.1177/1091142113489845
"Taxes, Mortgage Borrowing, and Residential Land Prices",Academic Paper,Dennis R. Capozza; Richard K. Green; Patric H. Hendershott,Referenced,https://www.progress.org/wiki/capozza-green-hendershott-residential-land/,Medium,1,1996,important,Book Chapter,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=48961
The Economic Implications of House Price Capitalization: A Synthesis,Academic Paper,Christian A. L. Hilber,Scanned,https://www.progress.org/wiki/hilber-capitalization-synthesis/,Medium,1,2017,important,Paper,https://doi.org/10.1111/1540-6229.12129
Relationships Between Poverty and Psychopathology: A Natural Experiment,Academic Paper,E. Jane Costello; Scott N. Compton; Gordon Keeler; Adrian Angold,Scanned,https://www.progress.org/wiki/great-smoky-mountains-casino-dividend/,Deep,3,2003,important,Paper,https://jamanetwork.com/journals/jama/fullarticle/197482
Parents' Incomes and Children's Outcomes: A Quasi-Experiment Using Transfer Payments from Casino Profits,Academic Paper,Randall K. Q. Akee; William E. Copeland; Gordon Keeler; Adrian Angold; E. Jane Costello,Scanned,https://www.progress.org/wiki/great-smoky-mountains-casino-dividend/,Deep,3,2010,important,Paper,https://www.aeaweb.org/articles?id=10.1257/app.2.1.86
"The Great Smoky Mountains Study of Youth: Goals, Design, Methods, and the Prevalence of DSM-III-R Disorders",Academic Paper,E. Jane Costello; Adrian Angold; Barbara J. Burns; et al.,Referenced,https://www.progress.org/wiki/great-smoky-mountains-casino-dividend/,Light,1,1996,supplementary,Paper,https://doi.org/10.1001/archpsyc.1996.01830120067012
"Liberty and Taxation: Churchill, George and The People's Rights, Part 2 (Why Churchill Abandoned the Theories of Henry George)",Online Writing,Richard M. Langworth,Scanned,https://www.progress.org/wiki/winston-churchill/,Light,1,2019,supplementary,Article,https://winstonchurchill.hillsdale.edu/henry-george-churchills-rejection/
Centuries of Experience with Land Taxation in Denmark,Online Writing,Viggo Starcke,Scanned,https://www.progress.org/wiki/denmark/,Light,1,1962,supplementary,Article,https://bibliotek1.dk/english/history/centuries-of-experience-with-land-taxation-in-denmark
Property Taxes and Tax Revolts: The Legacy of Proposition 13,Modern Book,Arthur O'Sullivan; Terri A. Sexton; Steven M. Sheffrin,Referenced,https://www.progress.org/wiki/proposition-13/,Light,1,1995,important,Book,https://books.google.com/books/about/Property_Taxes_and_Tax_Revolts.html?id=sEnB7PrE7lsC
Proposition 13: Unintended Effects and Feasible Reforms,Academic Paper,Terri A. Sexton; Steven M. Sheffrin; Arthur O'Sullivan,Referenced,https://www.progress.org/wiki/proposition-13/,Light,1,1999,important,Paper,https://doi.org/10.1086/NTJ41789379
What's Manhattan Worth? A Land Values Index from 1950 to 2014,Academic Paper,Jason Barr; Fred H. Smith; Sayali J. Kulkarni,Scanned,https://www.progress.org/wiki/barr-smith-kulkarni-manhattan-land/,Medium,3,2018,important,Paper,https://doi.org/10.1016/j.regsciurbeco.2018.02.005
Land Price and Land Share Indicators,Dataset,AEI Housing Center,Scanned,https://www.progress.org/wiki/aei-land-price-indicators/,Medium,2,2020,important,Dataset,https://www.aei.org/housing/land-price-indicators/
Development of an Innovative Land Valuation Model (iLVM) for Mass Appraisal Application in Sub-Urban Areas Using AHP,Academic Paper,Jannet C. Bencure; Nitin Kumar Tripathi; Hiroyuki Miyazaki; Sarawut Ninsawat; Sohee Minsun Kim,Scanned,https://www.progress.org/wiki/bencure-ilvm-baybay-philippines/,Medium,3,2019,important,Paper,https://doi.org/10.3390/su11133731
Identifying Berlin's land value map using adaptive weights smoothing,Academic Paper,Jens Kolbe; Rainer Schulz; Martin Wersing; Axel Werwatz,Scanned,https://www.progress.org/wiki/kolbe-berlin-land-value-appraisal/,Light,2,2015,important,Paper,https://doi.org/10.1007/s00180-015-0559-9
Wealth Inequality in the United States since 1913: Evidence from Capitalized Income Tax Data,Academic Paper,Emmanuel Saez; Gabriel Zucman,Scanned,https://www.progress.org/wiki/saez-zucman-wealth-inequality/,Light,2,2016,important,Paper,https://eml.berkeley.edu/~saez/SaezZucman2016QJE.pdf
The Effects of Site Value Taxation in an Urban Area: A General Equilibrium Computational Approach,Academic Paper,Joseph A. DiMasi,Scanned,https://www.progress.org/wiki/site-value-ge-simulations/,Deep,2,1987,important,Paper,https://doi.org/10.1086/ntj41788697
Land Taxation in New York City: A General Equilibrium Analysis,Academic/Research,Andrew F. Haughwout,Scanned,https://www.progress.org/wiki/site-value-ge-simulations/,Deep,2,2001,important,Paper,https://www.newyorkfed.org/medialibrary/media/research/economists/haughwout/netzer_paper.pdf
The Surprising Incidence of a Tax on Pure Rent: A New Answer to an Old Question,Academic Paper,Martin Feldstein,Scanned,https://www.progress.org/wiki/feldstein-incidence-pure-rent/,Medium,4,1977,important,Paper,https://cooperative-individualism.org/feldstein-martin_the-surprising-incidence-of-a-tax-on-pure-rent-1977-apr.pdf
The Avoidable Excess Burden of Broad-Based U.S. Taxes,Academic Paper,Nicolaus Tideman; Ebere Akobundu; Andrew Johns; Prapaiporn Wutthicharoen,Scanned,https://www.progress.org/wiki/tideman-avoidable-excess-burden/,Light,2,2002,important,Paper,https://doi.org/10.1177/109114210203000506
Gegen Immobilienspekulation und steigende Mieten? (Countering Real Estate Speculation and Rising Rents?),Academic Paper,Anna Grotegut,Scanned,https://www.progress.org/wiki/wertzuwachssteuer-germany/,Deep,3,2022,supplementary,Paper,https://doi.org/10.1515/jbwg-2022-0007
Land Tenure Reform Association (Mill's unearned-increment programme),Reference,John Stuart Mill (LTRA),Referenced,https://www.progress.org/wiki/land-value-increment-tax/,Light,1,1868,supplementary,Reference,https://en.wikipedia.org/wiki/Land_Tenure_Reform_Association
Betterment For Worsenment: The English 1909 Act and Its Progeny,Academic Paper,Donald G. Hagman,Referenced,https://www.progress.org/wiki/symmetry-decrement-objection/,Light,2,1977,important,Paper,https://www8.austlii.edu.au/au/journals/UQLJ/1977/3.pdf
Windfalls for Wipeouts: Land Value Capture and Compensation,Modern Book,Donald G. Hagman & Dean J. Misczynski (eds.),Referenced,https://www.progress.org/wiki/symmetry-decrement-objection/,None,2,1978,important,Book,https://ntrl.ntis.gov/NTRL/dashboard/searchResults/titleDetail/PB80172711.xhtml
Depreciating Licenses,Academic Paper,E. Glen Weyl & Anthony Lee Zhang,Referenced,https://www.progress.org/wiki/harberger-tax/,Light,1,2022,important,Paper,https://doi.org/10.1257/pol.20200426
A Property Taxation Mechanism With Self-Assessment,Academic Paper,Dieter Gstach,Referenced,https://www.progress.org/wiki/harberger-tax/,None,1,2009,supplementary,Paper,https://ideas.repec.org/a/bla/metroe/v60y2009i3p400-408.html
The Equalization of Land Rights Act (Republic of China),Primary/Legal,Ministry of the Interior (Taiwan),Referenced,https://www.progress.org/wiki/harberger-tax/,Light,2,2023,important,Legal Text,https://law.moj.gov.tw/ENG/LawClass/LawAll.aspx?pcode=D0060009
Letchworth Garden City Heritage Foundation Report & Accounts 2024,Report,Letchworth Garden City Heritage Foundation,Referenced,https://www.progress.org/wiki/garden-city-movement/,Moderate,2,2024,important,Report,https://www.letchworth.com/documents/183/Annual_Report_2024_I6ioTR4.pdf
Letchworth: The First Garden City's Economic Function Transcribed From Theory to Practice,Academic Paper,Katie O'Sullivan,Referenced,https://www.progress.org/wiki/garden-city-movement/,Light,2,2017,supplementary,Paper,https://doi.org/10.5070/bp328133866
Empty Homes Tax Annual Report — 2022 Vacancy Reference Year,Government,City of Vancouver,Scanned,https://www.progress.org/wiki/vancouver-empty-homes-tax/,Heavy,1,2023,important,Report,https://vancouver.ca/files/cov/empty-homes-tax-annual-report-2023.pdf
Ripple Effects: The Impact of an Empty-Homes Tax on the Housing Market,Academic Paper,Gherardo Caracciolo; Enrico Miglino,Scanned,https://www.progress.org/wiki/vancouver-empty-homes-tax/,Heavy,1,2024,important,Report,https://cdhowe.org/publication/ripple-effects-impact-empty-homes-tax-housing-market/
REPORT BACK — Increasing the Empty Homes Tax to Five Percent and Improving Compliance (Members' Motion B.3),Government,City of Vancouver (Director of Finance),Referenced,https://www.progress.org/wiki/vancouver-empty-homes-tax/,Light,1,2023,supplementary,Report,https://council.vancouver.ca/20230510/documents/cfsc2.pdf
Empty Homes Tax (program page and 2023 rate news release),Government,City of Vancouver,Referenced,https://www.progress.org/wiki/vancouver-empty-homes-tax/,Light,1,2023,supplementary,Webpage,https://vancouver.ca/home-property-development/empty-homes-tax.aspx
Vancouver council votes to stop plan to increase empty homes tax from 3% to 5%,News,Justin McElroy (CBC News),Referenced,https://www.progress.org/wiki/vancouver-empty-homes-tax/,Light,1,2023,supplementary,News,https://www.cbc.ca/news/canada/british-columbia/vancouver-empty-homes-tax-2023-1.6839316
Underused Housing Tax Act / CRA UHT program pages,Government,Government of Canada,Referenced,https://www.progress.org/wiki/vancouver-empty-homes-tax/,Light,1,2022,supplementary,Statute,https://laws-lois.justice.gc.ca/eng/acts/U-0.5/FullText.html
Impact of Dubai Metro on Property Values (PhD thesis; Ch.3 = 2013 rail meta-analysis),Academic Thesis,Sara Ishaq Mohammad,Scanned,https://www.progress.org/wiki/mohammad-rail-meta-analysis/,Full,1,2015,important,Thesis,https://doi.org/10.25560/29127
Floyd Marinescu — speaker biography (QCon San Francisco 2013),Web Page,QCon/C4Media,Referenced,https://www.progress.org/wiki/floyd-marinescu/,Full,1,2013,supplementary,Web,https://qconsf.com/sf2013/user/floyd-marinescu-0.html
Floyd Marinescu — InfoQ contributor profile,Web Page,InfoQ,Referenced,https://www.progress.org/wiki/floyd-marinescu/,Full,1,2013,supplementary,Web,https://www.infoq.com/profile/Floyd-Marinescu/
Land Versus Capital Value Taxation: A General Equilibrium Analysis,Academic Paper,James R. Follain; Tamar Emi Miyake,Referenced,https://www.progress.org/wiki/site-value-ge-simulations/,Light,1,1986,supplementary,Paper,https://doi.org/10.1086/ntj41788626
The Effects of the Property Tax: A General Equilibrium Simulation,Academic Paper,Richard Arnott; James G. MacKinnon,Referenced,https://www.progress.org/wiki/site-value-ge-simulations/,Light,1,1977,supplementary,Paper,https://ideas.repec.org/p/qed/wpaper/205.html
Economic and Spatial Effects of Land Value Taxation in an Urban Area: An Urban Computable General Equilibrium Approach,Academic Paper,Ki-Whan Choi; David L. Sjoquist,Referenced,https://www.progress.org/wiki/site-value-ge-simulations/,Light,1,2015,important,Paper,https://doi.org/10.3368/le.91.3.536
Land Reform in Kiaochow China: From 1898 to 1914 the Menace of Disastrous Land Speculation Was Averted by Taxation,Academic Paper,Michael Silagi; Susan N. Faulkner,Scanned,https://www.progress.org/wiki/wertzuwachssteuer-germany/,Deep,2,1984,supplementary,Paper,https://cooperative-individualism.org/silagi-michael_land-reform-in-kiaochow-china-1984-apr.pdf
Wilhelm Schrameier und die Landordnung von Tsingtau (typescript),Archive,Wilhelm Matzat,Referenced,https://www.progress.org/wiki/wertzuwachssteuer-germany/,Light,1,1985,supplementary,Archive,https://oac.cdlib.org/findaid/ark:/13030/kt6f59r92k/
Die Landordnung von Kiautschou und die Bodenpolitik von der Republik China (Taiwan),Academic Paper,Kumano Naoki,Referenced,https://www.progress.org/wiki/wertzuwachssteuer-germany/,Light,1,2024,supplementary,Paper,https://doi.org/10.15017/7329604
An Inquiry into the Nature and Causes of the Wealth of Nations,Historical Text,Adam Smith,Scanned,https://www.progress.org/wiki/wealth-of-nations/,Heavy,1,1776,core,Book,https://www.gutenberg.org/ebooks/3300
"Lectures on Justice, Police, Revenue and Arms (ed. Cannan)",Historical Text,Adam Smith,Scanned,https://www.progress.org/wiki/smith-lectures-jurisprudence/,Medium,1,1896,core,Book,https://archive.org/details/lecturesonjustic00smituoft
A Georgist Perspective on Adam Smith,Academic Paper,Nicolaus Tideman,Scanned,https://www.progress.org/wiki/smith-lectures-jurisprudence/,Light,1,1997,supplementary,Article,https://www.cooperative-individualism.org/tideman-nicolaus_a-georgist-perspective-on-adam-smith-1997-apr.htm
Two Centuries of Economic Thought on the Taxation of Land Rents,Academic Paper,Mason Gaffney,Scanned,https://www.progress.org/wiki/smith-lectures-jurisprudence/,Light,1,2015,supplementary,Paper,https://www.masongaffney.org/publications/K142_Centuries_Thought_Land_Taxation.CV.pdf
"How Much Revenue Would a Full Land Value Tax Yield? In the United States in 1981, Census and Federal Reserve Data Indicate It Would Nearly Equal All Taxes",Academic Paper,Steven Cord,Referenced,https://www.progress.org/wiki/land-rent-could-fund-government/,Light,1,1985,supplementary,Paper,https://cooperative-individualism.org/cord-steven_how-much-revenue-would-a-full-land-value-tax-yield-1985.pdf
There Is No Social Security Santa Claus,Online Writing,Richard M. Ebeling,Referenced,https://www.progress.org/wiki/land-rent-could-fund-government/,Light,1,2015,supplementary,Article,https://www.fff.org/explore-freedom/article/there-is-no-social-security-santa-claus/
US Land Values: High-Resolution Fair-Market-Value Maps (PLACES Lab),Dataset,Christoph Nolte,Referenced,https://www.progress.org/wiki/land-rent-could-fund-government/,Light,1,2020,supplementary,Dataset,https://placeslab.org/fmv-usa/
High-Resolution Land Value Maps Reveal Underestimation of Conservation Costs in the United States,Academic Paper,Christoph Nolte,Referenced,https://www.progress.org/wiki/land-rent-could-fund-government/,Light,1,2020,supplementary,Paper,https://doi.org/10.1073/pnas.2012865117
"Taxes upon Rent (Wealth of Nations, Book V, 1776)",Historical Text,Adam Smith,Scanned,https://www.progress.org/wiki/smith-taxes-upon-rent-1776/,Heavy,3,1776,core,Text,https://www.gutenberg.org/cache/epub/3300/pg3300.txt
Land and Income Tax Assessment Bill/Act 1895 (NSW),Primary/Legal,Parliament of New South Wales,Referenced,https://www.progress.org/wiki/new-south-wales/,Light,1,1895,supplementary,Legal Text,https://www.parliament.nsw.gov.au/bills/Pages/bill-details.aspx?pk=7750
